C:\Code\GraphicsPractice\QtOpenGLPractice\build\Release>2DRenderer.exe PersistMapOperation  CirNumDim=400 PersistMem=64
wait count is (ms): 0.189637
wait count is (ms): 0.121243
wait count is (ms): 0.104353
draw time(ms) is: 564.677
wait count is (ms): 0.248547
wait count is (ms): 0.332853
wait count is (ms): 0.10933
wait count is (ms): 0.1755
wait count is (ms): 0.11598
wait count is (ms): 0.1633
wait count is (ms): 0.0987267
wait count is (ms): 0.115947
wait count is (ms): 0.183003
wait count is (ms): 0.09838
wait count is (ms): 0.145217
wait count is (ms): 0.149167
wait count is (ms): 0.168577
wait count is (ms): 0.137007
wait count is (ms): 0.21149
wait count is (ms): 0.177187
wait count is (ms): 0.172553
wait count is (ms): 0.10466
wait count is (ms): 0.216923
wait count is (ms): 0.216393
wait count is (ms): 0.0999267
wait count is (ms): 0.278583
wait count is (ms): 0.128983
wait count is (ms): 0.1124
wait count is (ms): 0.172557
wait count is (ms): 0.270513
wait count is (ms): 0.142977
wait count is (ms): 0.257797
wait count is (ms): 0.146207
wait count is (ms): 0.19584
wait count is (ms): 0.109033
wait count is (ms): 0.148533
wait count is (ms): 0.144607
wait count is (ms): 0.0982633
wait count is (ms): 0.112463
wait count is (ms): 0.182493
wait count is (ms): 0.1013
wait count is (ms): 0.148947
wait count is (ms): 0.15138
wait count is (ms): 0.158823
wait count is (ms): 0.128183
wait count is (ms): 0.18076
wait count is (ms): 0.18799
wait count is (ms): 0.145017
wait count is (ms): 0.0967833
wait count is (ms): 0.16057
wait count is (ms): 0.20349
wait count is (ms): 0.101487
wait count is (ms): 0.162773
wait count is (ms): 0.21957
wait count is (ms): 0.12761
wait count is (ms): 0.193737
wait count is (ms): 0.10853
wait count is (ms): 0.262517
wait count is (ms): 0.129293
wait count is (ms): 0.0936467
wait count is (ms): 0.2225
wait count is (ms): 0.120793
wait count is (ms): 0.158893
wait count is (ms): 0.178123
wait count is (ms): 0.111153
wait count is (ms): 0.17481
wait count is (ms): 0.108397
wait count is (ms): 0.133283
wait count is (ms): 0.149637
wait count is (ms): 0.126443
wait count is (ms): 0.225577
wait count is (ms): 0.114673
wait count is (ms): 0.107303
wait count is (ms): 0.1836
wait count is (ms): 0.191927
wait count is (ms): 0.0957433
wait count is (ms): 0.183193
wait count is (ms): 0.102553
wait count is (ms): 0.219347
wait count is (ms): 0.11819
wait count is (ms): 0.222563
wait count is (ms): 0.119187
wait count is (ms): 0.20825
wait count is (ms): 0.212313
wait count is (ms): 0.114037
wait count is (ms): 0.17336
wait count is (ms): 0.14129
wait count is (ms): 0.165307
wait count is (ms): 0.1383
wait count is (ms): 0.142193
wait count is (ms): 0.105907
